"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
367500,79500,"Weymouth and Melcombe Regis M.B.","Weymouth and Melcombe Regis M.B.",4.7,NA,NA,NA,2.3,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,21.1,28.1,4.7,2.3,4.7,NA,9.4,4.7,4.7,NA,2.3,7,NA,2.3,2.3,11.7,2.3,21.1,9.4,7,4.7,4.7,NA,NA,NA,NA,NA,2.3
351500,385500,"Widnes M.B.","Widnes M.B.",NA,1.6,3.3,13.2,9.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,3.3,4.9,23.1,31.3,13.2,11.5,13.2,13.2,6.6,NA,NA,1.6,1.6,1.6,8.2,3.2,3.2,23.1,34.6,16.5,28,4.9,4.9,4.9,1.6,NA,1.6,NA,NA
385500,405500,"Wigan","Wigan",NA,2.6,3.9,11,5.2,3.9,0.6,1.3,0.6,NA,NA,NA,0.6,0.6,NA,0.6,5.8,22.1,20.1,14.9,11.7,7.1,5.2,9.7,11,7.1,2.6,3.2,1.3,1.9,1.9,5.8,16.9,18.8,16.2,11,5.2,6.5,2.6,7.8,4.5,2.6,2.6,NA,0.6,0.6
449500,86500,"Wight, Isle of","Wight, Isle of",0.7,0.7,1.3,0.7,2,0.7,NA,0.7,1.3,0.7,NA,NA,NA,NA,0.7,2.7,6.7,10.7,14,20,12.7,12.7,8.7,10,3.3,3.3,1.3,2,2,2,0.7,NA,NA,1.3,8.7,5.3,4.7,3.3,2,0.7,2,2,0.7,0.7,0.7,NA
522500,184500,"Willesden U.D.","Willesden U.D.",1,4.2,4.5,2.1,0.7,NA,NA,0.3,NA,NA,0.3,NA,NA,0.3,NA,1.7,7.6,28.1,40.2,31.2,19.7,15.6,12.8,6.6,3.8,1.7,2.8,1.4,1.4,1,0.7,0.7,0.7,2.8,8.3,7.3,3.1,1.7,1.7,1.7,0.7,0.7,0.3,NA,0.3,0.7
524500,171500,"Wimbledon M.B.","Wimbledon M.B.",NA,4.1,1,NA,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,5.1,15.3,25.6,39.9,13.3,14.3,10.2,10.2,2,1,2,NA,NA,1,NA,1,2,9.2,12.3,14.3,4.1,7.2,1,2,3.1,NA,1,NA,NA,NA
448500,129500,"Winchester M.B.","Winchester M.B.",2.3,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,2.3,4.6,9.2,13.8,2.3,4.6,4.6,16.1,6.9,4.6,NA,NA,2.3,2.3,NA,NA,NA,NA,NA,13.8,6.9,4.6,4.6,2.3,NA,2.3,NA,NA,NA,NA,NA
500500,158500,"Woking U.D.","Woking U.D.",NA,NA,2.2,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,15.4,11,8.8,11,2.2,4.4,6.6,NA,NA,4.4,2.2,NA,NA,NA,2.2,4.4,4.4,4.4,4.4,2.2,4.4,NA,NA,NA,NA,NA,NA,NA
385500,348500,"Wolstanton United U.D.","Wolstanton United U.D.",NA,11.7,7.8,3.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.9,36.9,44.7,33,15.5,7.8,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,NA,7.8,7.8,15.5,11.7,5.8,NA,NA,1.9,NA,NA,1.9
391500,298500,"Wolverhampton","Wolverhampton",0.6,3.4,1.7,6.2,0.6,1.1,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,0.6,0.6,6.8,18.1,32.9,34.6,36.3,36.3,18.1,7.4,6.8,NA,0.6,0.6,NA,1.1,1.1,1.7,16.4,18.1,21,14.2,7.9,7.4,5.1,2.8,NA,1.1,NA,NA,NA
530500,190500,"Wood Green U.D.","Wood Green U.D.",NA,1.1,1.1,2.2,NA,1.1,NA,1.1,1.1,NA,NA,NA,NA,2.2,8.7,8.7,21.8,27.2,30.5,17.4,13.1,10.9,4.4,6.5,1.1,2.2,NA,NA,1.1,NA,1.1,NA,2.2,6.5,6.5,8.7,19.6,13.1,3.3,4.4,2.2,1.1,1.1,NA,2.2,NA
385500,255500,"Worcester","Worcester",NA,2.3,2.3,4.7,NA,NA,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,3.5,24.6,37.4,39.8,15.2,23.4,14,7,3.5,2.3,1.2,2.3,NA,NA,1.2,NA,NA,NA,1.2,4.7,12.9,8.2,3.5,4.7,NA,NA,1.2,1.2,1.2,NA
295500,527500,"Workington M.B.","Workington M.B.",NA,2.1,6.3,4.2,10.5,NA,NA,2.1,NA,NA,NA,NA,NA,NA,2.1,2.1,NA,4.2,10.5,6.3,8.4,21,16.8,21,2.1,2.1,2.1,2.1,2.1,NA,NA,NA,NA,6.3,18.9,29.4,29.4,18.9,4.2,8.4,6.3,14.7,8.4,2.1,4.2,NA
458500,379500,"Worksop U.D.","Worksop U.D.",NA,NA,5.1,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,10.2,28,84,101.8,40.7,17.8,7.6,5.1,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,5.1,NA,NA
513500,103500,"Worthing M.B.","Worthing M.B.",NA,NA,1.8,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,41.7,21.7,21.7,5.4,9.1,9.1,5.4,NA,NA,1.8,NA,1.8,1.8,NA,NA,3.6,9.1,5.4,10.9,5.4,1.8,NA,NA,NA,3.6,NA,NA,1.8
459500,451500,"York","York",NA,2.9,2.9,3.6,2.9,NA,0.7,NA,NA,NA,NA,NA,0.7,NA,NA,2.9,7.1,20.7,32.1,30.7,15,10.7,3.6,2.1,5,5,5,5,2.1,NA,NA,NA,0.7,2.1,5.7,9.3,4.3,2.9,NA,3.6,NA,1.4,NA,NA,1.4,0.7
0,0,"Average","Average",2.24393617,5.329842932,6.389047619,4.820603015,3.280232558,2.025694444,1.454255319,1.219047619,1.077419355,0.964444444,1.0375,0.921428571,1.064,1.336363636,2.331325301,4.221428571,7.587931034,13.88215962,21.60508475,23.33786008,19.29878049,19.43401639,18.42938776,11.9916318,6.548927039,3.732673267,2.947619048,2.344736842,1.802222222,1.706034483,1.779824561,2.141666667,3.155483871,5.619211823,9.536909871,11.84327801,10.3350211,7.374786325,4.398666667,3.509183673,2.716145251,2.383783784,2.137748344,1.643965517,1.626666667,1.254216867
