"x","y"
607.609,341.466
610.6061,340.5692
613.0362,340.8953
616.1142,340.5692
619.1113,339.3464
622.4324,338.1235
624.8625,336.5745
627.0495,335.0255
629.1556,333.232
631.2616,332.0091
633.1247,330.134
635.5548,328.0144
637.9848,326.4654
640.0909,324.6718
642.845,322.5522
645.275,319.7803
647.0571,317.0085
648.2721,313.3398
649.1631,310.568
650.1352,308.4483
650.1352,306.0026
649.8111,303.2307
648.2721,305.1058
645.518,304.209
646.733,303.2307
648.2721,303.5568
649.8111,302.0078
650.1352,299.3175
650.3782,297.1163
651.0262,294.9967
651.5932,292.2248
651.3502,290.4312
649.8111,287.0887
650.1352,283.094
649.8111,280.3221
649.1631,277.8764
647.9481,274.5338
646.733,271.762
645.842,269.9684
645.275,268.0933
643.412,263.5279
643.412,260.43
644.303,258.6364
644.303,255.8646
643.736,253.0927
642.845,250.6469
642.197,248.2012
641.8729,246.4076
638.8759,244.8587
635.5548,242.4129
633.3677,240.6193
633.3677,238.1736
630.9376,236.6246
630.0466,235.4017
627.6165,238.4182
626.7255,241.5161
625.1865,243.6358
623.6474,244.288
623.6474,243.6358
624.8625,242.739
625.1865,241.5161
626.0775,238.4182
627.0495,236.6246
628.2646,235.4017
629.7226,233.8528
627.2925,231.7331
625.5105,229.6134
623.4044,231.7331
622.4324,234.505
620.6504,235.7278
618.7873,235.9724
616.6813,236.6246
614.5752,238.1736
613.6842,239.3965
613.0362,238.4182
614.2512,237.1953
616.1142,236.2985
617.8963,235.7278
619.7593,235.0756
621.2174,233.8528
622.1894,231.407
623.4044,230.1841
618.7873,230.1841
615.4662,230.5102
614.2512,230.8363
612.4691,230.1841
608.824,229.6134
609.7151,228.6351
611.8211,228.9612
614.2512,228.9612
617.0053,228.9612
619.1113,228.9612
621.2174,228.9612
622.7564,228.6351
621.5414,226.8416
620.9744,225.6187
619.1113,224.3958
617.5723,222.2762
619.1113,221.9501
621.5414,221.624
623.0804,221.2979
622.7564,220.075
621.5414,218.8521
620.6504,216.7325
618.7873,214.9389
617.3293,213.716
613.9272,210.455
611.4971,210.455
609.391,210.1289
607.609,210.455
606.07,212.2486
607.285,213.4715
605.1789,212.9008
603.6399,213.7976
602.9919,216.5694
602.1009,218.6891
600.3188,219.5858
600.8858,217.4662
601.7768,215.9172
601.7768,214.1237
599.3468,213.7976
598.1317,211.6779
597.5647,209.8028
594.2436,210.1289
595.7017,208.5799
595.4587,206.7864
592.7046,205.8896
591.1656,205.5635
589.3835,205.5635
586.6294,205.2374
585.4144,204.3406
582.6603,204.3406
585.4144,202.7917
587.5205,201.2427
588.4115,200.3459
589.9505,202.7917
591.1656,202.7917
593.9196,202.4656
594.4867,203.1178
595.7017,204.6667
597.2407,206.1342
600.5618,206.1342
600.5618,202.4656
601.5338,200.3459
601.5338,197.574
600.3188,195.7805
599.9948,194.8837
599.9948,194.313
599.6708,192.438
598.4558,192.1934
596.6737,191.8673
593.5956,192.1934
591.1656,193.0902
589.3835,193.9869
586.9534,194.313
585.0904,193.9869
582.6603,193.4163
580.8783,192.438
584.5234,192.438
587.1965,192.7641
588.7355,192.1934
591.1656,191.2151
594.2436,190.6444
596.0257,189.4215
595.7017,188.1986
595.4587,186.9758
596.0257,185.4268
593.5956,183.8778
592.3806,182.6549
589.9505,181.7582
586.3054,182.4104
582.3363,182.4104
580.5543,182.981
576.0182,182.981
574.1551,182.4104
572.6161,180.8614
572.049,179.3124
568.728,179.3124
567.5129,177.5188
566.5409,174.4209
566.5409,172.6273
568.566,173.8502
569.214,175.9699
572.211,175.6438
573.7501,176.296
577.3952,175.9699
580.1493,175.6438
582.5793,175.3992
584.6854,175.0731
585.9004,173.8502
586.5484,171.9751
585.5764,170.7523
584.3614,170.5077
582.5793,171.4045
580.7163,170.7523
579.5012,169.5294
577.7192,168.6326
576.5042,168.3065
574.6411,167.7358
572.8591,166.839
570.753,165.2901
572.535,164.3933
573.7501,166.1868
575.2891,166.839
577.3952,167.4097
579.2582,168.0619
580.4733,168.9587
582.5793,169.2848
585.3334,168.6326
587.7635,167.4097
588.6545,169.2848
590.4365,171.7306
593.8386,171.0784
596.8357,170.5077
598.0507,170.1816
599.9138,168.9587
601.3718,167.4097
602.3439,165.8607
601.1288,164.3933
600.8048,162.5182
602.5869,162.1921
604.7739,162.1921
606.88,163.7411
608.095,163.7411
609.8771,164.3933
612.9551,164.6379
615.0612,164.964
617.1673,166.5129
619.0303,166.1868
621.7844,165.8607
624.2145,166.839
626.8875,167.4097
629.0746,167.4097
631.1806,167.4097
633.6107,168.0619
636.9318,168.6326
638.1468,165.2901
637.2558,164.3933
636.6078,162.1921
634.8257,161.9475
633.2867,161.2953
632.3957,160.3986
631.7477,158.5235
632.0717,156.4038
633.2867,153.9581
