"x","y"
608.662,127.707
607.204,126.158
605.989,124.9351
605.665,122.8154
604.7739,119.3914
605.665,117.2717
606.232,115.4782
606.556,113.6031
603.2349,113.9292
599.9138,115.1521
598.3748,115.4782
596.5117,116.0489
593.5146,116.375
591.9756,115.4782
589.2215,112.0541
587.1155,111.1573
585.3334,109.6084
583.1463,108.3855
581.9313,107.4887
579.8253,106.5919
578.6102,105.9397
576.5042,105.3691
574.6411,105.043
570.753,104.1462
568.323,103.494
565.8929,103.2494
563.7058,101.7004
562.2478,99.82534
561.2758,98.03178
559.8177,97.135
557.6307,94.36315
555.5246,92.81417
553.0945,93.46637
551.3125,94.68925
548.8824,94.93383
547.0194,95.58603
544.9133,96.8089
542.4832,96.8089
539.4052,97.37958
536.0841,98.92856
533.654,100.1514
526.0398,101.3743
523.0427,102.0265
519.9646,102.2711
517.5346,101.7004
515.1045,100.4775
512.9984,99.58076
509.3533,98.60246
506.3563,98.60246
502.9542,98.35788
499.6331,98.60246
496.879,97.37958
493.2339,96.1567
491.1279,95.58603
489.6698,95.58603
487.8878,94.93383
486.0247,94.36315
485.7817,92.2435
484.5667,90.04232
483.0276,89.47164
481.4886,91.5913
480.2736,92.81417
478.1675,94.68925
476.0614,95.25993
475.7374,97.37958
477.5195,99.82534
477.8435,101.3743
476.0614,100.8036
475.0894,99.58076
473.8744,98.03178
472.4164,98.35788
472.4164,100.8036
472.4164,101.3743
471.4443,101.7004
469.9863,101.7004
469.6623,100.4775
469.6623,98.92856
469.6623,97.37958
469.3383,96.1567
467.7992,96.8089
467.2322,98.92856
466.9082,101.0482
465.6932,100.8036
465.3692,99.25466
465.3692,97.70568
464.1541,96.1567
462.0481,96.1567
461.7241,97.70568
461.7241,100.4775
461.4811,102.2711
461.4811,103.2494
459.942,102.2711
459.051,102.2711
458.079,102.2711
458.403,100.8036
459.618,99.25466
460.509,98.03178
460.266,97.135
459.618,95.58603
457.5119,95.91213
455.0819,97.70568
453.2188,98.92856
451.7608,99.82534
449.3307,101.0482
447.4677,102.5972
446.5767,104.4723
446.9007,106.2658
446.2526,105.3691
445.6856,104.1462
444.1466,105.6952
442.6075,106.5919
441.7165,109.3638
442.2835,109.9345
440.8255,107.8148
438.6384,108.1409
435.3173,109.9345
439.2865,107.4887
440.8255,105.6952
442.0405,104.1462
444.4706,102.0265
445.6856,100.4775
446.5767,98.35788
445.6856,96.4828
443.8226,95.91213
441.7165,94.68925
440.5015,97.70568
440.1775,95.58603
