"V1","V2","V3"
"L",492.0999,419.4856
"L",494.5299,418.8334
"L",496.96,418.5888
"L",498.4181,419.8117
"L",501.1721,420.0563
"L",503.2782,420.7085
"L",506.0323,421.0346
"L",509.1103,421.6053
"L",511.5404,422.2575
"L",513.9705,418.5888
"L",515.7525,416.1431
"L",518.8306,413.3712
"L",521.5037,411.2516
"L",523.3667,408.4797
"L",527.0118,408.4797
"L",529.4419,405.7079
"L",532.196,402.936
"L",532.763,402.0392
"L",534.302,401.7131
"L",535.5171,400.2457
"L",536.7321,398.6967
"L",540.0532,398.6967
"L",542.4832,396.577
"L",542.1592,396.3325
"L",544.0223,392.9084
"L",545.4803,390.4627
"L",545.8043,387.7723
"L",547.6674,385.5711
"L",549.1254,381.9025
"L",550.0975,379.4567
"L",551.5555,376.4403
"L",553.0945,373.3424
"L",553.7425,369.4292
"L",554.3096,367.228
"L",555.2006,364.2115
"L",554.9576,361.1136
"L",554.9576,358.0971
"L",553.9856,356.2221
"L",552.7705,354.1024
"L",548.5584,351.086
"L",546.4524,348.8848
"L",544.2653,346.7651
"L",541.8352,344.3194
"L",539.7292,341.8736
"L",538.5141,338.8572
"L",536.7321,336.656
"L",535.193,333.9657
"L",533.978,332.7428
"L",533.978,332.7428
"L",537.1371,332.9059
"L",538.5951,332.0091
"L",540.4582,331.683
"L",543.2123,331.1123
"L",544.4273,328.0144
"L",547.1004,325.5686
"L",547.1004,323.4489
"L",554.3906,323.1228
"L",557.4686,321.3293
"L",557.7927,319.7803
"L",558.3597,324.3457
"L",560.4657,326.7915
"L",561.1137,328.6666
"L",562.3288,332.3352
"L",562.8958,335.0255
"L",564.1108,338.4496
"L",566.2979,340.8953
"L",568.971,342.1182
"L",572.049,341.7921
"L",577.8002,342.6889
"L",580.8783,343.9118
"L",583.8754,343.3411
"L",586.3054,343.015
"L",589.6265,342.3628
"L",593.9196,341.466
"L",596.0257,342.1182
"L",599.6708,342.6889
"L",603.3159,343.015
"L",604.8549,342.1182
"L",607.609,341.466
"L",610.6061,340.5692
"L",613.0362,340.8953
"L",616.1142,340.5692
"L",619.1113,339.3464
"L",622.4324,338.1235
"L",624.8625,336.5745
"L",627.0495,335.0255
"L",629.1556,333.232
"L",631.2616,332.0091
"L",633.1247,330.134
"L",635.5548,328.0144
"L",637.9848,326.4654
"L",640.0909,324.6718
"L",642.845,322.5522
"L",645.275,319.7803
"L",647.0571,317.0085
"L",648.2721,313.3398
"L",649.1631,310.568
"L",650.1352,308.4483
"L",650.1352,306.0026
"L",649.8111,303.2307
"L",648.2721,305.1058
"L",645.518,304.209
"L",646.733,303.2307
"L",648.2721,303.5568
"L",649.8111,302.0078
"L",650.1352,299.3175
"L",650.3782,297.1163
"L",651.0262,294.9967
"L",651.5932,292.2248
"L",651.3502,290.4312
"L",649.8111,287.0887
"L",650.1352,283.094
"L",649.8111,280.3221
"L",649.1631,277.8764
"L",647.9481,274.5338
"L",646.733,271.762
"L",645.842,269.9684
"L",645.275,268.0933
"L",643.412,263.5279
"L",643.412,260.43
"L",644.303,258.6364
