"V1","V2","V3"
"L",231.8398,122.5709
"L",233.9459,121.0219
"L",235.809,120.4512
"L",237.348,120.4512
"L",238.563,122.0002
"L",239.7781,123.4676
"L",240.9931,124.6905
"L",241.8841,126.2395
"L",243.4232,127.1363
"L",244.8812,127.4624
"L",246.7443,128.3592
"L",248.8503,129.3375
"L",251.2804,129.9081
"L",253.7104,129.9081
"L",255.2495,130.5603
"L",253.7104,131.131
"L",251.9284,131.7832
"L",250.0653,130.8049
"L",248.8503,130.5603
"L",246.4202,129.9081
"L",245.5292,130.5603
"L",244.8812,133.2507
"L",243.6662,135.1257
"L",243.0992,136.9193
"L",241.8841,138.1422
"L",244.6382,138.4683
"L",245.2052,141.5662
"L",244.8812,143.3598
"L",248.5263,144.2566
"L",250.9564,144.2566
"L",253.3864,144.9088
"L",255.5735,145.4794
"L",258.5706,145.2349
"L",260.4336,145.2349
"L",264.4837,145.8055
"L",265.3748,146.3762
"L",266.9138,147.0284
"L",268.1288,146.3762
"L",270.8019,146.3762
"L",272.3409,147.3545
"L",274.204,148.2513
"L",275.986,147.5991
"L",278.0921,147.3545
"L",279.6311,146.7023
"L",283.2762,145.8055
"L",285.3823,146.1316
"L",286.9213,145.4794
"L",288.1364,146.1316
"L",289.9994,146.3762
"L",291.4575,146.3762
"L",292.9965,145.8055
"L",294.8596,144.9088
"L",296.6416,144.9088
"L",297.5326,144.2566
"L",298.5047,143.3598
"L",299.9627,143.0337
"L",300.2867,141.4847
"L",301.8257,140.914
"L",303.3648,140.2618
"L",305.4708,140.2618
"L",307.5769,140.5879
"L",309.1159,140.5879
"L",310.655,141.2401
"L",312.113,141.8108
"L",313.6521,141.8108
"L",314.8671,142.1369
"L",316.0821,142.7076
"L",317.2972,143.0337
"L",318.5122,143.0337
"L",320.0512,143.0337
"L",321.8333,142.7076
"L",323.3723,142.463
"L",325.4784,142.1369
"L",327.6654,142.1369
"L",327.6654,140.5879
"L",329.1235,142.463
"L",330.3385,145.1533
"L",330.6625,147.0284
"L",329.7715,148.822
"L",329.1235,150.0449
"L",329.1235,151.9199
"L",329.4475,154.0396
"L",329.7715,155.5886
"L",329.7715,156.4853
"L",331.3105,156.8114
"L",331.3105,159.2572
"L",330.9865,160.154
"L",332.2016,161.3769
"L",332.5256,163.2519
"L",332.5256,164.4748
"L",335.1986,164.4748
"L",336.7377,165.6977
"L",337.9527,168.1434
"L",340.0588,169.3663
"L",341.2738,171.1599
"L",342.4888,172.3828
"L",343.7039,172.7089
"L",344.9189,174.5024
"L",346.782,174.5024
"L",348.321,174.8285
"L",349.536,175.1546
"L",350.7511,177.6004
"L",352.8571,180.0461
"L",353.4241,182.4919
"L",354.3962,184.2854
"L",354.6392,185.8344
"L",356.1782,186.7312
"L",358.0413,188.2802
"L",358.9323,189.8292
"L",359.8233,192.601
"L",361.9294,195.0468
"L",363.7924,196.8403
"L",365.0074,197.1664
"L",363.7924,196.8403
"L",363.6304,197.9817
"L",361.8484,197.0849
"L",359.7423,196.7588
"L",358.5273,195.5359
"L",357.8793,193.9869
"L",356.9882,191.8673
"L",354.5582,190.3183
"L",353.5861,188.2802
"L",353.5861,188.2802
"L",352.9381,189.2585
"L",352.9381,190.8075
"L",353.2621,192.601
"L",352.9381,194.15
"L",351.7231,195.3729
"L",351.7231,197.4925
"L",352.0471,198.7154
"L",352.0471,200.2644
"L",353.2621,201.4873
"L",353.9101,203.0362
"L",352.3711,204.2591
"L",352.3711,205.4005
"L",352.9381,206.6233
"L",353.5861,208.4984
"L",353.9101,210.6181
"L",353.5861,212.4116
"L",352.3711,213.3899
"L",350.265,213.3899
"L",349.05,213.3899
"L",348.078,214.2867
"L",347.187,215.5096
"L",345.9719,216.4064
"L",345.0809,217.3031
"L",345.0809,218.526
"L",344.1899,219.5043
"L",343.2179,220.4011
"L",342.3268,220.9718
"L",341.1118,222.1947
"L",339.0057,223.4175
"L",337.7907,223.173
"L",337.7907,222.1947
"L",336.5757,221.9501
"L",335.3606,221.2979
"L",333.4976,221.2979
"L",332.0396,221.624
"L",332.0396,222.5208
"L",331.3915,223.173
"L",330.8245,224.0697
"L",329.6095,224.9665
"L",328.9615,226.8416
"L",328.6375,228.309
"L",327.4224,229.5319
"L",327.1794,231.0809
"L",324.9924,232.3038
"L",324.9924,233.8528
"L",324.7494,235.9724
"L",324.4254,237.5214
"L",324.1013,238.7443
"L",323.2103,239.641
"L",323.5343,240.5378
"L",323.5343,241.7607
"L",322.5623,243.6358
"L",322.3193,246.4076
"L",323.7773,247.6305
"L",325.3164,248.8534
"L",323.7773,249.7502
"L",323.7773,251.2991
"L",324.4254,252.7666
"L",324.9924,253.7449
"L",326.5314,254.9678
"L",326.8554,257.0874
"L",328.0705,258.6364
"L",329.6095,259.2071
"L",330.8245,259.8593
"L",332.6066,261.0822
"L",330.8245,261.6528
"L",331.3915,263.5279
"L",332.0396,265.6476
"L",332.6066,267.1966
"L",333.4976,268.4194
"L",334.4696,269.8869
"L",332.9306,270.5391
"L",330.8245,270.213
"L",328.9615,270.213
"L",327.1794,270.5391
"L",326.2074,270.8652
"L",324.9924,272.3326
"L",323.2103,273.5555
"L",321.6713,275.1045
"L",321.1043,276.3274
"L",319.8892,277.2242
"L",318.3502,277.8764
"L",317.4592,279.0992
"L",317.1352,280.6482
"L",316.8111,282.4418
"L",317.4592,283.6646
"L",318.6742,284.3168
"L",321.1043,284.5614
"L",322.5623,285.7843
"L",324.1013,286.7626
"L",326.2074,287.0072
"L",327.7464,287.3333
"L",329.6095,287.6594
"L",329.6095,288.8823
"L",331.3915,290.4312
"L",332.0396,291.8987
"L",332.0396,294.0999
"L",331.3915,294.9967
"L",330.5005,294.3444
"L",328.9615,293.7738
"L",327.1794,293.4477
"L",325.9644,291.8987
"L",324.1013,291.0019
"L",323.2103,292.877
"L",322.8863,294.9967
"L",323.7773,297.1163
"L",324.9924,298.3392
"L",326.5314,299.5621
"L",326.8554,301.111
"L",328.0705,301.6817
"L",329.2855,303.2307
"L",329.2855,304.4536
"L",329.2855,305.6765
"L",330.5005,306.8993
"L",331.0675,308.1222
"L",331.7155,308.7744
"L",332.6066,310.2419
"L",334.7126,310.568
"L",334.7126,311.7908
"L",333.8216,313.6659
"L",332.2826,314.8888
"L",330.5005,316.1117
"L",329.6095,317.3346
"L",328.3945,317.9052
"L",326.8554,318.802
"L",324.9924,319.1281
"L",323.5343,320.0249
"L",321.9953,320.351
"L",321.6713,321.5739
"L",321.3473,323.4489
"L",321.9953,324.6718
"L",322.3193,326.1393
"L",323.7773,327.1176
"L",323.7773,329.2372
"L",323.7773,330.7862
"L",324.4254,332.2537
"L",325.9644,334.4548
"L",328.0705,334.4548
"L",329.6095,334.6994
"L",331.0675,334.6994
"L",332.2826,335.3516
"L",332.2826,337.4713
"L",333.8216,337.7974
"L",334.7126,337.7974
"L",335.6847,336.2484
"L",338.3577,335.3516
"L",340.2208,335.6777
"L",341.4358,335.6777
"L",342.9749,335.3516
"L",344.1899,333.232
"L",345.9719,331.0308
"L",347.511,331.683
"L",348.726,332.5798
"L",349.293,333.4765
"L",350.265,334.6994
"L",349.941,337.4713
"L",349.941,339.3464
"L",349.05,341.1399
"L",346.863,341.7921
"L",345.4049,342.3628
"L",344.1899,343.2596
"L",342.6508,344.8085
"L",342.3268,346.3575
"L",342.0028,347.9065
"L",341.1118,349.7001
"L",340.5448,351.5751
"L",339.8968,353.6948
"L",339.8968,355.8144
"L",338.3577,356.1405
"L",336.8997,356.4666
"L",335.3606,357.6895
"L",334.1456,358.2602
"L",334.1456,359.8092
"L",335.6847,360.3799
"L",336.2517,361.6027
"L",337.7907,362.8256
"L",337.7907,364.7007
"L",335.6847,366.2497
"L",335.0366,366.8203
"L",333.2546,368.3693
"L",331.7155,369.9183
"L",327.9894,368.8585
"L",327.9894,368.8585
"L",326.9364,374.0761
"L",325.7214,375.299
"L",325.3974,376.5218
"L",325.0734,377.7447
"L",324.1823,378.9676
"L",322.9673,380.5166
"L",321.1043,381.4134
"L",320.2132,383.2069
"L",319.8892,384.8374
"L",320.2132,386.631
"L",321.7523,387.2016
"L",322.9673,387.8538
"L",324.1823,388.4245
"L",326.2884,389.6474
"L",328.7185,390.5442
"L",329.3665,389.0767
"L",330.8245,387.8538
"L",332.6876,386.631
"L",333.2546,385.4081
"L",334.7936,382.6362
"L",335.1176,381.0873
"L",335.6847,379.2937
"L",337.5477,377.7447
"L",338.4387,375.8696
"L",340.8688,374.6468
"L",342.7318,374.9729
"L",343.6229,376.1957
"L",345.1619,375.8696
"L",346.944,375.299
"L",348.483,375.6251
"L",348.483,377.4186
"L",348.483,378.6415
"L",350.9131,379.8644
"L",352.6951,381.0873
"L",354.5582,381.7395
"L",355.4492,382.3101
"L",353.3431,381.7395
"L",351.4801,381.4134
"L",349.374,380.1905
"L",348.483,378.9676
"L",345.7289,378.9676
"L",343.6229,378.9676
"L",341.1928,379.8644
"L",339.3298,380.7612
"L",338.1147,381.7395
"L",336.6567,383.2069
"L",335.4416,384.7559
"L",333.9026,386.3049
"L",333.0116,387.5277
"L",332.3636,389.9735
"L",331.7966,391.7671
"L",331.7966,393.6421
"L",330.2575,394.5389
"L",329.3665,396.414
"L",329.3665,397.8814
"L",329.3665,399.4304
"L",328.7185,400.6533
"L",327.1794,401.5501
"L",326.6124,403.9958
"L",327.1794,405.8709
"L",327.1794,407.0938
"L",328.1515,408.8873
"L",328.7185,410.4363
"L",330.2575,411.3331
"L",331.1485,413.2082
"L",331.4725,413.7789
"L",331.7966,414.4311
"L",332.6876,415.6539
"L",333.2546,416.8768
"L",335.1176,418.4258
"L",336.8997,419.6487
"L",337.2237,421.4422
"L",338.4387,422.6651
"L",339.3298,422.6651
"L",340.8688,422.6651
"L",342.0838,422.9912
"L",343.9469,422.339
"L",345.4049,422.6651
"L",344.8379,424.2141
"L",342.4078,423.3173
"L",338.7627,423.3173
"L",336.8997,423.5619
"L",333.9026,423.888
"L",333.2546,425.437
"L",330.8245,426.0076
"L",329.9335,426.9859
"L",329.6095,428.2088
"L",329.3665,430.3285
"L",329.0425,431.5513
"L",328.3945,433.3449
"L",328.3945,435.22
"L",329.6095,436.769
"L",330.2575,438.2364
"L",330.5815,439.7854
"L",329.6095,441.3344
"L",329.6095,443.1279
"L",330.2575,445.3291
"L",333.0116,445.3291
"L",337.8717,437.3396
"L",338.1147,437.3396
"L",336.8997,438.8886
"L",335.4416,440.1115
"L",334.2266,441.905
"L",333.9026,443.454
"L",334.2266,445.8998
"L",336.0087,447.1227
"L",337.2237,448.0194
"L",339.3298,448.0194
"L",341.1928,447.1227
"L",342.9749,447.7749
"L",342.7318,449.2423
"L",342.4078,451.6881
"L",344.1899,452.9109
"L",345.4049,453.5632
"L",345.4049,456.335
"L",345.4049,458.7808
"L",344.5139,458.7808
"L",344.5139,456.5796
"L",344.5139,454.4599
"L",342.4078,453.237
"L",340.3018,453.8893
"L",339.9778,456.335
"L",340.3018,458.4547
"L",341.1928,460.0036
"L",342.9749,461.2265
"L",344.1899,462.694
"L",345.1619,463.0201
"L",346.0529,464.243
"L",346.3769,465.4658
"L",346.62,467.5855
"L",345.7289,468.8084
"L",344.1899,469.7867
"L",343.2989,471.2541
"L",343.2989,473.4553
"L",344.5139,474.6782
"L",345.7289,476.4717
"L",346.62,477.6946
"L",348.807,478.9175
"L",347.835,480.4665
"L",346.0529,478.3468
"L",344.1899,475.575
"L",342.7318,474.6782
"L",340.8688,474.6782
"L",339.3298,473.6999
"L",338.1147,472.8031
"L",338.4387,470.3573
"L",336.3327,470.0312
"L",335.1176,468.8084
"L",333.5786,469.7867
"L",333.5786,471.2541
"L",333.5786,473.1292
"L",333.0116,474.3521
"L",333.0116,476.4717
"L",331.7966,478.3468
"L",330.5815,476.7978
"L",330.5815,474.6782
"L",330.5815,473.1292
"L",329.6095,471.5802
"L",329.0425,470.3573
"L",328.7185,468.2377
"L",326.9364,466.6887
"L",325.9644,464.8952
"L",325.0734,463.9168
"L",323.5343,463.6723
"L",322.9673,462.1233
"L",322.9673,460.0036
"L",322.0763,457.8025
"L",320.5372,458.7808
"L",318.6742,460.2482
"L",317.7832,462.1233
"L",317.2162,464.8952
"L",317.2162,467.3409
"L",318.1072,470.6834
"L",318.6742,472.477
"L",320.2132,472.477
"L",320.2132,473.6999
"L",320.5372,476.1456
"L",321.1043,478.3468
"L",320.8613,480.7926
"L",319.3222,478.9175
"L",318.4312,477.6946
"L",318.1072,475.2489
"L",317.2162,474.9228
"L",316.2441,474.9228
"L",314.1381,474.6782
"L",313.8141,475.9011
"L",312.356,477.6946
"L",311.384,478.9175
"L",310.493,480.4665
"L",309.926,482.0154
"L",308.9539,483.4829
"L",308.0629,484.7058
"L",307.4959,486.2548
"L",307.1719,487.8037
"L",307.7389,490.8202
"L",308.0629,493.2659
"L",307.1719,493.592
"L",305.3088,494.4888
"L",305.0658,496.0378
"L",302.8788,496.9346
"L",302.3118,498.8096
"L",301.0967,500.3586
"L",300.4487,502.1522
"L",300.2057,503.212
"L",298.6667,504.4349
"L",298.6667,505.9023
"L",297.4516,507.1252
"L",295.3456,509.0003
"L",294.1305,510.7938
"L",294.1305,512.6689
"L",295.0216,513.5657
"L",295.9126,514.7886
"L",296.5606,516.3375
"L",297.1276,518.1311
"L",297.7756,519.1094
"L",298.6667,520.5769
"L",298.6667,522.4519
"L",298.0186,524.0009
"L",298.6667,524.8977
"L",298.9907,526.6912
"L",299.5577,529.137
"L",300.4487,530.1153
"L",301.0967,531.0121
"L",301.6637,532.235
"L",301.9877,533.7839
"L",303.2028,535.0068
"L",304.4178,536.4743
"L",305.6328,538.0233
"L",306.8479,538.92
"L",307.1719,540.1429
"L",307.1719,541.6919
"L",307.1719,543.2409
"L",307.4959,543.8115
"L",307.4959,544.7898
"L",307.4959,546.0127
"L",308.3869,546.9095
"L",308.3869,548.1324
"L",309.602,548.703
"L",309.926,550.5781
"L",311.141,552.1271
"L",312.032,553.5946
"L",313.8141,553.5946
"L",315.0291,553.5946
"L",316.2441,552.6978
"L",317.4592,551.4749
"L",318.1072,552.6978
"L",318.6742,554.2468
"L",316.8921,554.8174
"L",316.0011,555.4696
"L",316.2441,556.6925
"L",316.5681,558.4861
"L",317.7832,559.1383
"L",318.9982,559.1383
"L",320.8613,559.709
"L",322.3193,559.709
"L",323.8583,559.4644
"L",325.3974,558.8122
"L",325.9644,557.5893
"L",327.1794,557.5893
"L",328.3945,557.5893
"L",329.6095,558.2415
"L",331.7966,558.4861
"L",334.2266,557.5893
"L",334.7936,558.8122
"L",333.0116,559.1383
"L",331.7966,559.4644
"L",331.4725,562.2362
