"x","y"
257.1935,329.4818
257.5175,327.6067
257.1935,325.8132
256.3025,323.612
254.7635,322.7152
255.9785,320.9217
257.5175,319.3727
258.1656,317.4976
259.3806,315.704
261.1626,313.5844
261.4867,312.9322
264.8077,313.2583
265.6988,313.829
267.2378,314.8073
267.2378,313.829
265.4558,313.2583
264.2407,312.3615
262.7017,311.3832
261.8107,310.1603
261.4867,309.5897
260.2716,308.6929
259.0566,307.7146
258.1656,306.4917
257.8416,304.6981
256.9505,303.8014
255.4115,303.1492
255.9785,301.3556
256.6265,299.1544
258.1656,297.0348
258.7326,295.8119
259.9476,293.6922
260.2716,292.1433
261.8107,292.7955
264.4837,292.4694
266.0228,292.7955
267.2378,294.589
269.3439,295.2412
268.4528,294.0183
266.9138,293.3661
266.3468,292.4694
265.1317,291.5726
264.2407,291.5726
262.7017,291.2465
261.4867,291.2465
261.1626,287.9855
260.5956,286.1919
259.6236,284.9691
258.4086,283.4201
258.4086,281.8711
258.4086,280.4036
257.5175,278.5286
257.8416,276.735
257.8416,274.8599
256.6265,273.637
256.6265,272.0881
255.7355,270.2945
255.0875,268.4194
254.1965,267.1966
252.0904,266.6259
251.4424,265.7291
250.2273,263.854
249.0123,262.0605
248.4453,261.0822
246.9063,260.8376
245.3672,259.2886
243.2612,258.6364
242.6131,258.3918
240.8311,258.0657
239.6161,257.7396
237.51,257.7396
236.538,256.1907
235.0799,254.7232
233.5409,253.7449
233.2169,252.8481
231.4348,252.2774
231.4348,251.9513
229.8958,250.7285
229.0048,249.8317
226.8177,249.1795
224.7117,249.1795
222.9296,250.0763
221.3906,250.0763
219.8515,249.8317
218.3125,249.5056
215.8824,247.0598
215.8824,244.6141
217.4215,243.7173
216.8544,243.7173
214.9914,244.9402
214.4244,246.7337
214.1004,247.0598
213.2093,245.5109
212.2373,243.9619
210.4553,243.0651
209.2402,241.2715
207.1342,240.9454
205.2711,239.7226
206.1622,237.2768
204.0561,236.38
202.5171,237.6029
201.059,238.4997
201.059,236.9507
200.411,236.38
198.629,235.7278
197.0899,235.1572
196.4419,235.4017
196.1989,237.2768
193.7688,237.8475
191.6628,238.1736
190.4477,238.1736
189.2327,236.9507
189.2327,234.505
188.9087,232.956
187.4506,231.7331
186.4786,231.4885
184.6966,230.8363
182.8335,229.9395
181.3755,229.2873
179.5124,227.8199
177.4064,227.1677
175.5433,226.8416
173.1133,226.597
173.1133,225.048
173.4373,223.8252
173.1133,222.2762
171.6552,221.3794
171.8982,220.4826
174.0853,220.4826
175.5433,220.7272
177.7304,221.0533
179.1884,221.0533
181.0515,220.7272
182.5905,219.8304
184.3726,219.5043
185.5876,219.2597
185.9116,217.0586
187.1266,215.8357
187.1266,214.0421
187.1266,212.4932
186.4786,210.9442
185.2636,210.3735
184.3726,210.3735
183.1575,210.0474
